product_id,product_name,category,subcategory,brand,price,description,style_tags,color,sizes_available,rating,review_count,created_at,is_new_arrival
PROD-1000,VerdantCo Graphic Tee - Olive,Tops,Graphic Tee,VerdantCo,209.47,A trendy graphic tee by VerdantCo. Perfect for weekend getaways.,"[""athleisure"", ""streetwear""]",Olive,"[""XS"", ""XXL"", ""S""]",4.8,243,2026-02-24 01:00:38,False
PROD-1001,PrismLine Beanie - Sand,Accessories,Beanie,PrismLine,97.88,A classic beanie by PrismLine. Perfect for weekend getaways.,"[""preppy"", ""eco-friendly""]",Sand,"[""M"", ""S"", ""XL"", ""L"", ""XS""]",4.7,99,2025-08-13 04:42:59,True
PROD-1002,VerdantCo Running Tank - Black,Activewear,Running Tank,VerdantCo,42.05,A eco-friendly running tank by VerdantCo. Perfect for active lifestyles.,"[""preppy"", ""retro"", ""streetwear"", ""edgy""]",Black,"[""XXL"", ""XS"", ""XL"", ""M""]",3.6,238,2025-03-25 13:09:54,False
PROD-1003,SoleCraft Leather Belt - Burgundy,Accessories,Leather Belt,SoleCraft,123.64,A versatile leather belt by SoleCraft. Perfect for everyday wear.,"[""luxury"", ""classic"", ""athleisure""]",Burgundy,"[""XL"", ""S"", ""XXL"", ""L""]",3.4,393,2025-02-23 08:23:03,False
PROD-1004,IronLoom Beanie - Black,Accessories,Beanie,IronLoom,132.32,A eco-friendly beanie by IronLoom. Perfect for active lifestyles.,"[""casual"", ""classic""]",Black,"[""XXL"", ""L"", ""XL"", ""M""]",3.1,474,2024-08-09 22:38:20,False
PROD-1005,PrismLine Beanie - Teal,Accessories,Beanie,PrismLine,271.38,A classic beanie by PrismLine. Perfect for special occasions.,"[""resort"", ""eco-friendly"", ""edgy""]",Teal,"[""XS"", ""XXL"", ""XL"", ""L"", ""M"", ""S""]",3.8,615,2024-04-08 16:29:04,False
PROD-1006,VerdantCo Cover-Up - Teal,Swimwear,Cover-Up,VerdantCo,210.87,A versatile cover-up by VerdantCo. Perfect for active lifestyles.,"[""luxury"", ""streetwear""]",Teal,"[""M"", ""L"", ""S""]",4.1,469,2024-01-06 00:59:38,False
PROD-1007,PeakForm Fleece Hoodie - Teal,Outerwear,Fleece Hoodie,PeakForm,255.66,A classic fleece hoodie by PeakForm. Perfect for special occasions.,"[""luxury"", ""boho""]",Teal,"[""S"", ""XL"", ""XS"", ""M"", ""XXL""]",4.0,505,2024-01-31 06:08:44,True
PROD-1008,NovaStitch Track Jacket - Black,Activewear,Track Jacket,NovaStitch,43.97,A trendy track jacket by NovaStitch. Perfect for special occasions.,"[""eco-friendly"", ""streetwear""]",Black,"[""XXL"", ""L"", ""S"", ""XL""]",4.0,545,2025-10-19 07:43:32,False
PROD-1009,VerdantCo Beanie - Sand,Accessories,Beanie,VerdantCo,146.41,A trendy beanie by VerdantCo. Perfect for active lifestyles.,"[""luxury"", ""classic"", ""preppy"", ""retro""]",Sand,"[""XL"", ""XXL"", ""S""]",3.5,607,2024-12-08 02:17:57,True
