event_id,customer_id,session_id,event_timestamp,event_type,page_url,product_id,category_browsed,search_term,device_type,referrer,time_on_page_seconds
EVT-F3BE7FB6A292,CUST-0363,SESS-E14FE01D4E,2026-03-05 00:44:04,product_view,/product/PROD-1194,PROD-1194,Outerwear,,tablet,affiliate,168
EVT-796F65008AB1,CUST-0412,SESS-46A295E18B,2026-03-04 13:50:09,search,/search?q=cozy+hoodie,,,cozy hoodie,tablet,direct,247
EVT-8B176CA3BDEA,CUST-0049,SESS-1E56B4F702,2026-03-03 06:08:45,category_browse,/category/denim,,Denim,,mobile,instagram,223
EVT-1FC244FF710B,CUST-0106,SESS-7212EAEDD8,2026-03-03 21:51:29,category_browse,/category/accessories,,Accessories,,desktop,tiktok,8
EVT-F69C16C15500,CUST-0025,SESS-488281612E,2026-03-02 22:25:52,product_view,/product/PROD-1154,PROD-1154,Shoes,,tablet,google,297
EVT-EDB3CD80A858,CUST-0023,SESS-573D0FC168,2026-03-03 19:28:51,page_view,/sale,,,,desktop,direct,37
EVT-9770A2596BFB,CUST-0433,SESS-D78BD3F129,2026-03-03 09:55:33,category_browse,/category/shoes,,Shoes,,desktop,email_campaign,253
EVT-2F67D489A3FC,CUST-0164,SESS-8C3292205C,2026-03-03 11:09:47,category_browse,/category/outerwear,,Outerwear,,tablet,google,148
EVT-B0807E450FFF,CUST-0116,SESS-A1B4B90C69,2026-03-02 21:05:52,product_view,/product/PROD-1102,PROD-1102,Denim,,tablet,direct,76
EVT-49EFAB5C573B,CUST-0491,SESS-306E7808E3,2026-03-04 17:29:59,page_view,/loyalty,,,,desktop,tiktok,140
EVT-ED81B2891A04,CUST-0385,SESS-667EA16085,2026-03-04 09:17:26,product_view,/product/PROD-1050,PROD-1050,Tops,,desktop,instagram,297
EVT-30EAF1A23EF3,CUST-0269,SESS-424996EEF5,2026-03-02 13:23:59,remove_from_cart,/,PROD-1070,Swimwear,,desktop,affiliate,111
EVT-A477AA774721,CUST-0500,SESS-62900220AB,2026-03-05 02:59:47,remove_from_cart,/,PROD-1046,Outerwear,,tablet,tiktok,92
EVT-6C78B4393694,CUST-0346,SESS-D3CC6C4E68,2026-03-04 04:37:39,add_to_cart,/,PROD-1177,Shoes,,mobile,tiktok,236
EVT-99B84C70C4D1,CUST-0129,SESS-02C168AFE4,2026-03-05 00:14:14,product_view,/product/PROD-1130,PROD-1130,Denim,,mobile,instagram,129
EVT-8F5BFEFEAB30,CUST-0013,SESS-0433E2DCF7,2026-03-03 04:55:33,add_to_cart,/,PROD-1070,Swimwear,,desktop,instagram,109
EVT-F22A1D73FC6E,CUST-0031,SESS-BC4146F0B4,2026-03-05 11:46:51,product_view,/product/PROD-1058,PROD-1058,Denim,,desktop,tiktok,54
EVT-F3515BB88B78,CUST-0118,SESS-FA24E12DF9,2026-03-03 09:20:39,product_view,/product/PROD-1194,PROD-1194,Outerwear,,desktop,tiktok,14
EVT-F219F05CB94E,CUST-0424,SESS-0FD3340865,2026-03-04 03:13:45,remove_from_cart,/,PROD-1095,Activewear,,mobile,facebook,237
EVT-6493E25765A4,CUST-0102,SESS-7B09D34407,2026-03-03 05:36:07,page_view,/new-arrivals,,,,desktop,google,168
EVT-C23B00AD0F8E,CUST-0044,SESS-516E57FE1F,2026-03-02 15:30:34,search,/search?q=yoga+pants,,,yoga pants,mobile,affiliate,70
EVT-3085F42D3584,CUST-0213,SESS-86CE9EB464,2026-03-04 23:37:37,product_view,/product/PROD-1007,PROD-1007,Outerwear,,desktop,facebook,48
EVT-04D5A52E136C,CUST-0245,SESS-FCEB3E5AF8,2026-03-03 11:36:44,category_browse,/category/swimwear,,Swimwear,,mobile,affiliate,139
EVT-39A70B4B5230,CUST-0424,SESS-79F6ADF416,2026-03-03 07:54:25,page_view,/new-arrivals,,,,mobile,facebook,156
EVT-74F6C2D71719,CUST-0226,SESS-3C2A6EF576,2026-03-03 10:14:57,search,/search?q=running+shoes,,,running shoes,mobile,email_campaign,83
EVT-82357C2FD4F8,CUST-0249,SESS-E59FD80C55,2026-03-05 02:19:16,category_browse,/category/tops,,Tops,,mobile,tiktok,122
EVT-2F10C8B535A7,CUST-0343,SESS-FF06BB4E57,2026-03-05 08:32:57,page_view,/loyalty,,,,tablet,google,49
EVT-5681AFCCF34B,CUST-0164,SESS-8C3292205C,2026-03-05 05:47:05,category_browse,/category/denim,,Denim,,desktop,facebook,117
EVT-DDB60E8D0647,CUST-0494,SESS-D7992BBE8C,2026-03-04 08:30:32,category_browse,/category/outerwear,,Outerwear,,mobile,email_campaign,243
EVT-6C7C46C72BC8,CUST-0069,SESS-1E81FEE537,2026-03-04 14:23:25,category_browse,/category/swimwear,,Swimwear,,desktop,tiktok,257
EVT-B3593B74613E,CUST-0079,SESS-E28635FAA3,2026-03-03 19:28:29,search,/search?q=crossbody+bag,,,crossbody bag,mobile,email_campaign,70
EVT-9C92CCCABC4E,CUST-0181,SESS-3F1FC6E69E,2026-03-03 05:54:55,search,/search?q=black+jeans,,,black jeans,desktop,google,213
EVT-1C4F2FB1C418,CUST-0087,SESS-98EF034427,2026-03-04 12:53:10,product_view,/product/PROD-1171,PROD-1171,Tops,,tablet,facebook,189
EVT-77481FE91280,CUST-0486,SESS-3FAF69872A,2026-03-03 05:17:25,search,/search?q=beach+outfit,,,beach outfit,mobile,google,3
EVT-67C095808BE6,CUST-0309,SESS-514357279A,2026-03-05 08:24:56,search,/search?q=running+shoes,,,running shoes,desktop,google,151
EVT-F5A313433862,CUST-0101,SESS-E597CE9564,2026-03-03 10:53:36,page_view,/account,,,,tablet,facebook,200
