transaction_id,customer_id,product_id,purchase_date,quantity,unit_price,total_amount,payment_method,channel
TXN-592BD9378CAB,CUST-0060,PROD-1040,2026-01-28 21:58:20,3,274.35,823.05,credit_card,online
TXN-27738F1C5621,CUST-0275,PROD-1083,2025-02-02 10:58:54,1,122.85,122.85,paypal,in-store
TXN-276822495FA1,CUST-0275,PROD-1073,2025-02-10 05:23:47,1,200.17,200.17,credit_card,online
TXN-824C7C34F468,CUST-0203,PROD-1051,2026-02-12 13:33:48,3,49.85,149.55,debit_card,online
TXN-C26374BACD3C,CUST-0266,PROD-1009,2024-06-18 20:38:09,1,146.41,146.41,credit_card,online
TXN-093AD42D65A3,CUST-0020,PROD-1099,2024-04-14 16:52:05,1,78.05,78.05,debit_card,in-store
TXN-F667E0B743D9,CUST-0316,PROD-1094,2024-08-09 18:25:49,1,118.8,118.8,paypal,mobile_app
TXN-FB705947C26B,CUST-0394,PROD-1010,2026-02-21 08:17:16,1,97.96,97.96,debit_card,online
TXN-110DF79DEB0A,CUST-0372,PROD-1081,2024-01-23 01:49:46,1,294.62,294.62,debit_card,in-store
TXN-5CC25A515818,CUST-0441,PROD-1064,2025-06-27 21:18:57,3,292.1,876.3,paypal,online
TXN-E75F9E0B4F1A,CUST-0462,PROD-1164,2025-08-13 08:42:26,1,27.29,27.29,debit_card,in-store
TXN-3FD2BF954160,CUST-0259,PROD-1016,2024-10-28 21:29:11,1,94.04,94.04,apple_pay,mobile_app
TXN-A747E9567386,CUST-0370,PROD-1112,2025-11-15 08:10:02,1,144.99,144.99,credit_card,online
TXN-61FFC049F5B9,CUST-0309,PROD-1135,2024-09-07 06:10:07,1,181.65,181.65,debit_card,mobile_app
TXN-F44B721B1D55,CUST-0494,PROD-1081,2024-04-11 04:16:21,1,294.62,294.62,paypal,mobile_app
TXN-944B8F6D3D68,CUST-0274,PROD-1004,2024-09-20 22:53:57,1,132.32,132.32,apple_pay,in-store
TXN-B69758F68EA1,CUST-0020,PROD-1036,2024-12-28 23:32:58,3,83.69,251.07,credit_card,in-store
TXN-9BA33DCD76B6,CUST-0002,PROD-1144,2025-08-25 00:03:49,1,76.64,76.64,gift_card,online
TXN-F83DD724B0A6,CUST-0439,PROD-1057,2024-02-24 16:10:22,2,34.15,68.3,gift_card,mobile_app
TXN-BFF5A69DA697,CUST-0038,PROD-1005,2026-01-10 02:31:55,1,271.38,271.38,gift_card,mobile_app
TXN-44996622462C,CUST-0198,PROD-1072,2025-08-23 19:43:26,1,112.3,112.3,paypal,mobile_app
TXN-904DD04FC316,CUST-0122,PROD-1174,2025-01-23 10:15:11,1,177.98,177.98,apple_pay,mobile_app
TXN-2F14AE7875B2,CUST-0233,PROD-1122,2024-08-25 21:23:43,3,198.28,594.84,paypal,mobile_app
TXN-0800789DB1B3,CUST-0451,PROD-1092,2025-03-21 15:02:48,1,261.21,261.21,debit_card,in-store
TXN-4235C3193869,CUST-0132,PROD-1041,2024-02-02 12:35:33,1,31.15,31.15,paypal,in-store
TXN-C233D5611D2D,CUST-0074,PROD-1010,2024-12-18 14:38:12,1,97.96,97.96,paypal,online
TXN-008F67BA9F7C,CUST-0431,PROD-1160,2025-09-22 09:02:08,1,286.58,286.58,paypal,in-store
TXN-77A9B2FC6BB5,CUST-0236,PROD-1187,2025-08-26 10:11:57,1,108.58,108.58,paypal,in-store
TXN-831650E0E7DF,CUST-0173,PROD-1083,2024-07-25 18:52:29,1,122.85,122.85,gift_card,online
TXN-532DDD486369,CUST-0126,PROD-1055,2024-10-29 07:17:09,2,59.13,118.26,gift_card,in-store
TXN-D69592373AC5,CUST-0461,PROD-1118,2025-09-26 03:06:02,1,221.59,221.59,apple_pay,mobile_app
TXN-2F5E7972834E,CUST-0158,PROD-1054,2025-12-31 11:32:11,1,94.04,94.04,credit_card,mobile_app
TXN-2D69A26622E7,CUST-0334,PROD-1115,2025-10-02 04:52:01,1,57.54,57.54,credit_card,online
TXN-5D7F76A24425,CUST-0112,PROD-1086,2024-08-31 10:55:14,1,225.98,225.98,paypal,mobile_app
TXN-0192098046BD,CUST-0222,PROD-1046,2024-02-07 00:38:52,3,155.61,466.83,debit_card,in-store
TXN-7E90A32A37DE,CUST-0291,PROD-1170,2024-08-30 02:43:15,1,266.89,266.89,paypal,mobile_app
TXN-3141BC80EBD3,CUST-0401,PROD-1050,2025-05-06 15:37:41,1,85.0,85.0,paypal,online
TXN-1FEC0A43D6CE,CUST-0445,PROD-1189,2026-01-26 00:55:53,1,127.38,127.38,apple_pay,mobile_app
TXN-575840E234B7,CUST-0478,PROD-1195,2024-02-24 20:08:24,1,132.21,132.21,credit_card,online
TXN-71719419B29C,CUST-0044,PROD-1005,2024-03-22 22:45:48,1,271.38,271.38,apple_pay,online
TXN-599F29E221EA,CUST-0161,PROD-1091,2024-08-21 22:53:03,1,193.06,193.06,debit_card,in-store
TXN-3BBD3FAC7E5D,CUST-0431,PROD-1016,2025-05-05 02:41:37,1,94.04,94.04,gift_card,in-store
TXN-5AF163C95E08,CUST-0244,PROD-1086,2025-03-26 02:19:45,2,225.98,451.96,apple_pay,online
TXN-5472C5785F8F,CUST-0411,PROD-1143,2024-08-24 03:36:02,1,242.78,242.78,debit_card,in-store
TXN-8193C7A8C31A,CUST-0061,PROD-1136,2025-09-28 09:58:24,3,118.55,355.65,debit_card,mobile_app
TXN-2A3484B5A8A1,CUST-0283,PROD-1160,2025-03-12 21:11:10,1,286.58,286.58,debit_card,online
TXN-CDE307F92FED,CUST-0340,PROD-1037,2024-05-30 18:59:31,3,290.33,870.99,credit_card,online
TXN-B4E9DA2EB2A5,CUST-0451,PROD-1097,2026-01-10 19:22:36,1,152.96,152.96,debit_card,online
TXN-5929847BE26D,CUST-0301,PROD-1176,2025-07-16 22:39:47,3,275.02,825.06,paypal,mobile_app
TXN-FCF59F2C5EF8,CUST-0293,PROD-1046,2024-01-31 20:18:36,1,155.61,155.61,paypal,mobile_app
TXN-B89ABA25FFE9,CUST-0291,PROD-1088,2024-05-12 01:25:17,2,150.86,301.72,apple_pay,online
TXN-71BC327F8246,CUST-0091,PROD-1034,2025-09-03 11:03:31,1,221.61,221.61,debit_card,online
TXN-F92C946005F7,CUST-0479,PROD-1171,2025-05-13 04:30:35,1,283.7,283.7,apple_pay,mobile_app
TXN-CB5E0BE5CA25,CUST-0406,PROD-1021,2026-02-07 13:36:47,1,91.31,91.31,credit_card,mobile_app
TXN-F64091369EF1,CUST-0457,PROD-1151,2024-09-19 15:01:10,1,278.89,278.89,apple_pay,in-store
TXN-0EE7A7C8FD2F,CUST-0099,PROD-1131,2024-02-06 10:04:06,1,235.3,235.3,paypal,in-store
TXN-DAB20E4FBC37,CUST-0464,PROD-1042,2025-01-05 23:15:20,1,197.73,197.73,apple_pay,in-store
TXN-D3A585BBC1EE,CUST-0230,PROD-1110,2025-02-27 20:05:01,1,124.84,124.84,paypal,mobile_app
TXN-B36BCEBB52CD,CUST-0042,PROD-1085,2024-07-21 22:58:46,1,237.97,237.97,gift_card,online
TXN-46292F0D5CFF,CUST-0377,PROD-1146,2025-08-14 08:26:52,1,224.6,224.6,debit_card,in-store
TXN-6F266EBE179F,CUST-0195,PROD-1099,2025-02-23 20:54:22,1,78.05,78.05,paypal,in-store
TXN-CC2EE4A1B4A2,CUST-0188,PROD-1131,2025-10-21 11:02:14,2,235.3,470.6,paypal,mobile_app
TXN-EA9274D35751,CUST-0176,PROD-1033,2025-02-10 08:42:18,3,179.55,538.65,gift_card,online
TXN-DC2CB9E12EBD,CUST-0251,PROD-1072,2025-11-29 20:31:35,1,112.3,112.3,credit_card,mobile_app
TXN-E8B828A30C08,CUST-0468,PROD-1081,2024-06-25 08:31:44,2,294.62,589.24,credit_card,online
TXN-B48564F6E82A,CUST-0413,PROD-1195,2024-04-25 14:22:42,1,132.21,132.21,debit_card,in-store
TXN-D9A8FDB8B148,CUST-0034,PROD-1039,2025-01-03 01:57:43,1,146.13,146.13,credit_card,online
TXN-31E4916FE843,CUST-0005,PROD-1185,2025-06-13 22:25:38,1,227.45,227.45,gift_card,online
TXN-E38A5D74452B,CUST-0080,PROD-1149,2025-12-16 18:29:22,1,296.32,296.32,apple_pay,mobile_app
TXN-AFACAB136FA4,CUST-0055,PROD-1156,2024-08-03 11:40:04,1,26.68,26.68,debit_card,mobile_app
TXN-5F0D759D8D66,CUST-0475,PROD-1020,2024-05-22 06:34:15,1,131.9,131.9,credit_card,in-store
TXN-641E1C3F8905,CUST-0406,PROD-1175,2024-03-18 16:05:02,1,160.58,160.58,credit_card,in-store
TXN-A2D0898A47F6,CUST-0165,PROD-1160,2026-01-09 12:12:38,1,286.58,286.58,debit_card,mobile_app
TXN-8684281B1115,CUST-0254,PROD-1154,2025-12-29 21:26:01,2,110.09,220.18,apple_pay,mobile_app
TXN-4EDEABAB8DF0,CUST-0347,PROD-1151,2024-04-05 04:10:29,2,278.89,557.78,paypal,online
TXN-CB8C638B0634,CUST-0260,PROD-1001,2024-11-03 03:33:16,1,97.88,97.88,apple_pay,online
TXN-CBC294C2AC3B,CUST-0450,PROD-1138,2024-10-21 03:18:54,1,161.51,161.51,credit_card,mobile_app
TXN-4A3492258B47,CUST-0390,PROD-1019,2025-05-14 06:51:48,1,127.1,127.1,debit_card,online
TXN-3293103F7084,CUST-0203,PROD-1162,2025-04-05 22:30:16,2,28.25,56.5,gift_card,in-store
TXN-E6DF76546FBA,CUST-0260,PROD-1163,2025-10-24 13:56:29,1,44.55,44.55,apple_pay,in-store
TXN-2AF45848D646,CUST-0377,PROD-1061,2025-01-25 22:52:10,1,139.48,139.48,apple_pay,online
TXN-82036133B144,CUST-0034,PROD-1015,2025-06-18 17:34:22,1,299.56,299.56,credit_card,mobile_app
TXN-31E9FCE14D38,CUST-0387,PROD-1110,2025-11-23 17:33:01,1,124.84,124.84,credit_card,mobile_app
TXN-5332150457C7,CUST-0346,PROD-1022,2025-07-15 12:56:35,1,55.63,55.63,gift_card,mobile_app
TXN-F7C29AC69B96,CUST-0492,PROD-1016,2025-05-10 15:34:02,1,94.04,94.04,paypal,in-store
TXN-F6415A93C4D0,CUST-0381,PROD-1122,2025-04-11 10:01:33,1,198.28,198.28,paypal,in-store
TXN-990888124351,CUST-0280,PROD-1190,2024-09-21 22:40:28,1,25.34,25.34,credit_card,mobile_app
TXN-9A57994A33A7,CUST-0181,PROD-1104,2025-12-18 03:11:41,1,65.49,65.49,apple_pay,in-store
TXN-0ED32BFAE799,CUST-0238,PROD-1118,2024-08-08 17:14:02,1,221.59,221.59,paypal,in-store
TXN-FA23CE3D9052,CUST-0487,PROD-1006,2025-05-07 00:18:28,2,210.87,421.74,paypal,mobile_app
TXN-D00075714F44,CUST-0077,PROD-1102,2025-11-05 18:54:26,1,290.06,290.06,debit_card,online
TXN-FD964C6D5435,CUST-0304,PROD-1047,2024-01-26 11:02:23,1,290.29,290.29,paypal,in-store
TXN-8BF64B1F4C3D,CUST-0077,PROD-1069,2024-02-03 16:18:50,1,75.23,75.23,paypal,in-store
TXN-E5DE621DCD03,CUST-0082,PROD-1077,2025-03-07 08:16:22,2,124.7,249.4,debit_card,online
TXN-31F6C3949A19,CUST-0250,PROD-1155,2025-11-03 10:03:01,2,174.86,349.72,paypal,online
TXN-889227C81602,CUST-0250,PROD-1170,2024-06-13 16:23:43,1,266.89,266.89,credit_card,in-store
TXN-7AE93962908A,CUST-0362,PROD-1122,2024-08-07 18:40:28,1,198.28,198.28,debit_card,mobile_app
TXN-62540F25730A,CUST-0483,PROD-1126,2025-10-08 18:28:55,2,163.47,326.94,paypal,online
TXN-37210208148D,CUST-0490,PROD-1078,2025-06-09 23:11:46,1,273.63,273.63,apple_pay,mobile_app
TXN-01CD71AE2FE8,CUST-0317,PROD-1109,2024-07-20 01:25:42,1,130.86,130.86,gift_card,in-store
TXN-C68876A2FE38,CUST-0175,PROD-1185,2024-07-18 01:09:49,1,227.45,227.45,apple_pay,mobile_app
TXN-A5A6CE379D82,CUST-0497,PROD-1121,2025-11-25 12:17:01,1,90.67,90.67,apple_pay,in-store
TXN-23C2ADB725F0,CUST-0127,PROD-1053,2024-12-28 15:12:44,3,240.21,720.63,apple_pay,mobile_app
TXN-834D3842D226,CUST-0469,PROD-1121,2025-06-13 08:21:15,2,90.67,181.34,gift_card,in-store
TXN-4062982774F6,CUST-0358,PROD-1049,2025-05-14 22:47:40,3,32.87,98.61,gift_card,online
TXN-AA18D89CABC8,CUST-0363,PROD-1151,2025-01-21 23:05:10,1,278.89,278.89,paypal,mobile_app
TXN-106E3740E1F0,CUST-0241,PROD-1004,2024-05-28 11:34:47,1,132.32,132.32,paypal,online
TXN-CF8E47814E0E,CUST-0320,PROD-1082,2026-02-01 15:35:15,1,30.24,30.24,paypal,mobile_app
TXN-1B77138501F9,CUST-0462,PROD-1186,2025-11-29 06:00:45,1,35.02,35.02,paypal,online
TXN-CE9371F74C53,CUST-0406,PROD-1197,2024-08-10 06:32:03,1,205.27,205.27,apple_pay,online
TXN-E02A244250B3,CUST-0243,PROD-1063,2024-01-05 17:49:57,1,83.31,83.31,apple_pay,in-store
TXN-01CBA1772595,CUST-0423,PROD-1158,2024-08-14 23:45:20,1,216.19,216.19,apple_pay,in-store
TXN-19204EF24031,CUST-0249,PROD-1080,2024-11-06 18:42:55,1,264.52,264.52,debit_card,mobile_app
TXN-D942B467EFCE,CUST-0310,PROD-1030,2024-04-04 01:57:01,1,152.59,152.59,debit_card,mobile_app
TXN-89655BE98B66,CUST-0410,PROD-1129,2025-08-07 02:37:41,1,290.96,290.96,paypal,mobile_app
TXN-458CA7CD07C4,CUST-0420,PROD-1002,2024-11-13 06:37:12,1,42.05,42.05,debit_card,in-store
TXN-8626883B0193,CUST-0013,PROD-1007,2025-10-16 15:47:48,1,255.66,255.66,credit_card,in-store
TXN-86270B50999C,CUST-0239,PROD-1198,2024-08-17 07:28:35,3,291.63,874.89,paypal,mobile_app
TXN-F0CAC139F2AC,CUST-0196,PROD-1142,2025-11-20 22:42:44,1,95.23,95.23,apple_pay,online
TXN-41E389D59028,CUST-0480,PROD-1070,2024-11-03 05:47:54,1,40.76,40.76,gift_card,in-store
TXN-38E96FD3DE68,CUST-0146,PROD-1041,2025-05-16 10:59:41,1,31.15,31.15,credit_card,online
TXN-67126CBD1C9A,CUST-0027,PROD-1083,2025-07-26 22:40:50,1,122.85,122.85,debit_card,in-store
